r_1,1,26,16.5,2,0,0,11.0
r_2,2,28,27.5,1,1,0,17.5
r_3,3,3,7.5,10,1,0,7.5
r_4,4,19,1.0,5,0,1,17.0
r_5,5,4,0.5,10,3,0,29.0
r_6,6,3,5.0,1,0,1,25.5
r_7,7,19,26.0,6,3,0,15.5
r_8,8,23,9.5,10,3,1,18.5
r_9,9,27,27.5,10,2,0,19.0
r_10,10,2,19.0,10,3,0,5.0
r_11,11,8,24.0,10,2,1,10.5
r_12,12,18,2.0,0,1,1,23.0
r_13,13,14,19.5,4,1,0,0.0
r_14,14,24,29.0,8,0,1,2.0
r_15,15,5,4.0,1,3,0,10.5
r_16,16,3,18.5,6,2,0,18.0
r_17,17,6,26.5,8,1,1,29.5
r_18,18,9,7.0,8,1,1,21.5
r_19,19,14,10.5,1,3,1,26.0
r_20,20,11,2.0,1,0,1,18.0
r_21,21,14,18.5,10,3,1,24.5
r_22,22,6,21.5,5,3,0,23.0
r_23,23,7,1.0,2,2,1,20.0
r_24,24,0,11.0,10,2,0,28.0
r_25,25,4,8.0,7,2,1,12.0
r_26,26,9,0.5,6,0,1,28.5
r_27,27,29,21.0,3,3,1,10.0
r_28,28,18,28.5,0,3,0,10.0
r_29,29,22,0.5,8,1,1,18.0
r_30,30,27,1.5,9,2,0,19.5
r_31,31,29,22.0,10,3,0,26.0
r_32,32,20,17.5,5,0,1,28.0
r_33,33,20,25.5,7,3,0,29.5
r_34,34,19,1.5,10,2,1,5.0
r_35,35,22,0.0,10,3,1,2.5
r_36,36,27,6.0,2,0,0,26.0
r_37,37,21,22.5,2,1,0,4.0
r_38,38,29,28.0,9,1,1,0.5
r_39,39,15,22.5,9,1,0,14.5
r_40,40,11,10.5,1,0,0,1.0
r_41,41,0,21.5,2,2,0,0.0
r_42,42,15,20.5,0,3,1,25.5
r_43,43,18,22.5,3,2,0,2.5
r_44,44,5,20.0,7,3,0,8.5
r_45,45,28,5.5,7,2,0,8.5
r_46,46,4,4.5,4,2,0,11.5
r_47,47,7,22.0,8,0,1,9.0
r_48,48,24,4.5,10,1,1,12.0
r_49,49,5,4.5,2,1,1,1.5
r_50,50,3,18.0,3,1,0,19.5
r_51,51,6,21.0,7,3,0,14.0
r_52,52,11,27.0,0,3,1,24.5
r_53,53,10,3.0,10,3,1,7.0
r_54,54,5,20.0,10,3,0,2.0
r_55,55,19,14.5,4,2,1,3.0
r_56,56,19,13.0,0,0,0,14.0
r_57,57,27,15.5,1,3,1,12.5
r_58,58,15,25.5,1,3,0,4.5
r_59,59,21,20.5,2,2,0,13.5
r_60,60,12,24.0,0,2,1,3.0
r_61,61,28,18.5,2,1,0,3.5
r_62,62,18,14.5,7,2,1,23.0
r_63,63,17,11.5,5,0,1,12.0
r_64,64,0,24.0,0,1,0,20.0
r_65,65,7,16.5,6,0,0,14.0
r_66,66,2,27.5,5,0,0,23.0
r_67,67,10,4.5,6,3,1,0.5
r_68,68,6,1.5,2,1,1,13.0
r_69,69,5,23.0,3,0,0,8.0
r_70,70,28,4.0,2,0,0,17.5
r_71,71,5,15.0,3,3,1,0.0
r_72,72,28,28.0,4,2,0,3.0
r_73,73,9,16.0,4,2,0,22.5
r_74,74,24,0.0,3,3,1,26.0
r_75,75,10,0.5,8,2,0,6.5
r_76,76,30,3.0,5,3,0,22.0
r_77,77,14,17.5,6,3,0,3.0
r_78,78,4,6.5,10,1,0,20.0
r_79,79,14,24.5,6,1,0,24.0
r_80,80,3,13.0,5,3,0,1.5
r_81,81,2,16.0,8,0,0,25.5
r_82,82,1,9.0,10,0,1,8.5
r_83,83,4,4.5,0,1,1,21.0
r_84,84,17,14.5,8,3,1,27.0
r_85,85,7,13.0,4,1,1,8.5
r_86,86,5,20.5,1,1,0,20.0
r_87,87,23,8.0,5,3,0,14.0
r_88,88,15,1.5,6,2,1,25.0
r_89,89,22,15.5,9,1,1,27.5
r_90,90,3,19.0,7,3,1,18.0
r_91,91,15,19.5,3,0,0,13.0
r_92,92,18,21.0,1,0,1,27.0
r_93,93,11,16.0,3,1,0,2.0
r_94,94,28,1.0,9,2,1,5.0
r_95,95,27,21.5,7,3,0,27.5
r_96,96,10,24.5,8,2,1,8.5
r_97,97,6,4.0,2,0,1,24.5
r_98,98,11,9.0,0,1,1,8.0
r_99,99,22,9.5,1,2,0,10.5
